date,kota_administrasi,kecamatan,kelurahan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_luka_ringan,ketinggian_min,ketinggian_max
4/2/2020,Jakarta Barat,KALIDERES,PEGADUNGAN,5,7,0,0,0,5,60
1/2/2020,Jakarta Barat,KALIDERES,SEMANAN,4,4,0,0,0,10,60
1/2/2020,Jakarta Barat,KALIDERES,TEGAL ALUR,10,29,0,0,55,15,35
25/02/2020,Jakarta Barat,KEBON JERUK,DURI KEPA,1,1,0,0,0,10,30
20/02/2020,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,3,6,0,0,0,15,50
2/2/2020,Jakarta Barat,KEBON JERUK,KEDOYA UTARA,1,5,0,0,0,20,50
16/02/2020,Jakarta Barat,KEBON JERUK,SUKABUMI SELATAN,2,3,0,0,0,10,80
25/02/2020,Jakarta Barat,KEBON JERUK,KEBON JERUK,1,1,0,0,0,10,30
1/2/2020,Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,2,2,0,0,0,20,60
1/2/2020,Jakarta Barat,KEMBANGAN,KEMBANGAN UTARA,6,12,0,0,65,30,80
25/02/2020,Jakarta Barat,KEMBANGAN,SRENGSENG,2,3,0,0,0,15,20
23/02/2020,Jakarta Barat,PALMERAH,JATI PULO,2,5,0,0,0,10,40
25/02/2020,Jakarta Barat,PALMERAH,KEMANGGISAN,1,1,0,0,0,10,40
23/02/2020,Jakarta Barat,PALMERAH,KOTA BAMBU SELATAN,3,3,21,85,85,10,50
25/02/2020,Jakarta Barat,PALMERAH,KOTA BAMBU UTARA,1,1,0,0,0,10,40
25/02/2020,Jakarta Barat,TAMAN SARI,TANGKI,2,18,0,0,0,30,40
25/02/2020,Jakarta Barat,TAMAN SARI,MANGGA BESAR,1,1,0,0,0,30,40
25/02/2020,Jakarta Barat,TAMBORA,PEKOJAN,1,1,0,0,0,30,50
25/02/2020,Jakarta Selatan,CILANDAK,CILANDAK BARAT,1,1,0,0,0,50,80
22/02/2020,Jakarta Selatan,CILANDAK,CIPETE SELATAN,2,2,0,0,0,20,40
22/02/2020,Jakarta Selatan,CILANDAK,PONDOK LABU,1,1,0,0,0,20,20
8/2/2020,Jakarta Selatan,JAGAKARSA,TANJUNG BARAT,1,2,0,0,0,10,100
25/02/2020,Jakarta Selatan,JAGAKARSA,CIPEDAK,1,1,0,0,0,10,20
25/02/2020,Jakarta Selatan,KEBAYORAN BARU,KRAMAT PELA,2,2,0,0,0,10,20
2/2/2020,Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,4,4,0,0,0,10,35
25/02/2020,Jakarta Selatan,KEBAYORAN BARU,PULO,1,1,0,0,0,10,20
25/02/2020,Jakarta Selatan,KEBAYORAN BARU,CIPETE UTARA,2,2,0,0,0,10,20
25/02/2020,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,2,2,0,0,0,100,100
20/02/2020,Jakarta Selatan,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,1,1,0,0,0,10,30
20/02/2020,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,2,5,0,0,0,10,60
23/02/2020,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,2,2,0,0,0,10,30
25/02/2020,Jakarta Selatan,MAMPANG PRAPATAN,KUNINGAN BARAT,2,2,0,0,0,10,30
23/02/2020,Jakarta Selatan,MAMPANG PRAPATAN,MAMPANG PRAPATAN,1,3,0,0,0,120,120
22/02/2020,Jakarta Selatan,MAMPANG PRAPATAN,PELA MAMPANG,2,2,0,0,0,10,30
8/2/2020,Jakarta Selatan,PANCORAN,CIKOKO,2,2,0,0,0,10,25
8/2/2020,Jakarta Selatan,PANCORAN,PENGADEGAN,3,3,32,121,121,50,150
8/2/2020,Jakarta Selatan,PANCORAN,RAWAJATI,4,4,109,282,282,200,200
22/02/2020,Jakarta Selatan,PANCORAN,DUREN TIGA,1,1,0,0,0,10,50
25/02/2020,Jakarta Selatan,PASAR MINGGU,JATI PADANG,1,4,0,0,0,30,40
25/02/2020,Jakarta Selatan,PASAR MINGGU,KEBAGUSAN,2,3,0,0,0,5,40
8/2/2020,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,10,14,132,329,0,30,120
23/02/2020,Jakarta Selatan,PASAR MINGGU,RAGUNAN,2,2,0,0,0,25,50
25/02/2020,Jakarta Selatan,PASAR MINGGU,PASAR MINGGU,1,1,0,0,0,15,15
